"objectid","oldgrid_id","year","FVC","LST","NDVI","area","grid_id","new_site"
1,"10",2000,0.087116537,323.9419197,0.391070837,4199.996157,"JW-07_10","Jerra West"
2,"O",2000,0.108655549,313.583881,0.416225395,4203.453271,"JE-05_O","Jerra East"
3,"P",2000,0.127006028,310.8455769,0.427762566,4173.777787,"JE-06_P","Jerra East"
4,"G",2000,0.122806307,316.3645619,0.430765649,4157.94226,"JW-03_G","Jerra West"
5,"J3",2000,0.093684018,314.361017,0.400009667,3780.224328,"JE-03_3","Jerra East"
6,"H",2000,0.098789955,316.0461983,0.406903947,4060.415123,"JW-04_H","Jerra West"
7,"J4",2000,0.125924313,312.4922782,0.433561841,4093.709668,"JE-04_4","Jerra East"
8,"F",2000,0.133538823,317.2361754,0.439938512,4293.371549,"JW-02_F","Jerra West"
9,"U",2000,0.107132249,313.7414158,0.415595304,4515.913727,"JE-01_U","Jerra East"
10,"13",2000,0.106446856,317.1223107,0.41433336,4200.000235,"JW-08_13","Jerra West"
11,"E",2000,0.073670506,314.6506807,0.377767865,4047.964336,"JW-01_E","Jerra West"
12,"8",2000,0.161124695,316.5296804,0.463552882,4199.995909,"JE-08_8","Jerra East"
13,"Y",2000,0.118079019,313.8669405,0.42590957,4147.239869,"JE-02_Y","Jerra East"
14,"7",2000,0.106287649,316.5474888,0.412325844,4199.997896,"JE-07_7","Jerra East"
15,"25",2000,0.106350251,314.885819,0.411198934,4200.006086,"JW-12_25","Jerra West"
16,"AK",2000,0.07539056,315.8164883,0.37989646,4256.184632,"AP-04_K","Aerial Paddock"
17,"AL",2000,0.128458995,314.9535709,0.435509533,4207.845543,"AP-03_L","Aerial Paddock"
18,"15",2000,0.206693983,312.5122508,0.49939858,4200.002025,"JW-10_15","Jerra West"
19,"16",2000,0.225679985,313.5737413,0.512852035,4199.999092,"JW-11_16","Jerra West"
20,"14",2000,0.13054913,316.7117183,0.438091946,4199.999582,"JW-09_14","Jerra West"
21,"BI",2000,0.068769171,317.0468447,0.372339482,4149.82822,"BW-03_I","Bonshaw"
22,"BJ",2000,0.039841289,323.2781569,0.327372035,4398.570579,"BW-04_J","Bonshaw"
23,"L",2000,0.052869163,320.0944719,0.351335405,4108.922216,"CA-03_L","Cookanalla"
24,"I",2000,0.072571522,322.8222924,0.376979801,4621.047032,"CA-04_I","Cookanalla"
25,"J",2000,0.057485787,318.8409327,0.356524821,4164.535806,"CA-01_J","Cookanalla"
26,"K",2000,0.05659414,317.9825525,0.355718843,4101.568373,"CA-02_K","Cookanalla"
27,"NE",2000,0.053977131,322.4436118,0.35228061,4160.039322,"AT-01_NE","Airport"
28,"NW",2000,0.095093683,321.7805011,0.400995448,4284.79668,"AT-02_NW","Airport"
29,"A",2000,0.066733289,319.944126,0.367394448,6617.514112,"MA-01_A","Majura"
30,"B",2000,0.073107341,321.1444799,0.377740591,6007.426762,"MA-02_B","Majura"
31,"D",2000,0.060041231,320.3409909,0.360129461,5900.719144,"MA-04_D","Majura"
32,"C",2000,0.088032869,320.1485272,0.394880576,5810.724458,"MA-03_C","Majura"
1,"10",2001,0.069923753,322.8637071,0.367105936,4199.996157,"JW-07_10","Jerra West"
2,"O",2001,0.060196595,319.673702,0.353870908,4203.453271,"JE-05_O","Jerra East"
3,"P",2001,0.089639863,317.3835346,0.383088659,4173.777787,"JE-06_P","Jerra East"
4,"G",2001,0.066570136,329.7221704,0.364433326,4157.94226,"JW-03_G","Jerra West"
5,"J3",2001,0.04938476,321.2577872,0.338008856,3780.224328,"JE-03_3","Jerra East"
6,"H",2001,0.057509832,329.2237747,0.351277237,4060.415123,"JW-04_H","Jerra West"
7,"J4",2001,0.068148978,319.4010368,0.3636756,4093.709668,"JE-04_4","Jerra East"
8,"F",2001,0.080641014,328.9888643,0.382631772,4293.371549,"JW-02_F","Jerra West"
9,"U",2001,0.051523727,320.180291,0.340506166,4515.913727,"JE-01_U","Jerra East"
10,"13",2001,0.06155829,329.6361207,0.357401641,4200.000235,"JW-08_13","Jerra West"
11,"E",2001,0.037319063,328.0557834,0.322712501,4047.964336,"JW-01_E","Jerra West"
12,"8",2001,0.074780781,319.8522722,0.366788316,4199.995909,"JE-08_8","Jerra East"
13,"Y",2001,0.069583288,319.249936,0.36989339,4147.239869,"JE-02_Y","Jerra East"
14,"7",2001,0.046902253,319.3770007,0.329714814,4199.997896,"JE-07_7","Jerra East"
15,"25",2001,0.051771037,330.3900269,0.342606047,4200.006086,"JW-12_25","Jerra West"
16,"AK",2001,0.025838062,326.0697115,0.292872727,4256.184632,"AP-04_K","Aerial Paddock"
17,"AL",2001,0.039797008,325.7542669,0.320957024,4207.845543,"AP-03_L","Aerial Paddock"
