"date","site","year","time","animal.id","grid","trap.id","shelter","recap","sex","svl","weight","check","grid_new","grid_id"
"11/02/2002","Majura",2002,"","M02","C","1.1","Y","new","","55",NA,1,"C","MA-03_C"
"11/02/2002","Majura",2002,"","M01","B","1.2","Y","new","","55",NA,1,"B","MA-02_B"
"13/02/2002","Majura",2002,"","M02","C","1.1","Y","recap","","55",NA,2,"C","MA-03_C"
"13/02/2002","Majura",2002,"","M04","C","4.5","Y","new","","50",NA,2,"C","MA-03_C"
"13/02/2002","Majura",2002,"","M03","A","4.5","Y","new","","60",NA,2,"A","MA-01_A"
"15/02/2002","Majura",2002,"","M06","B","1.6","Y","new","","56",NA,3,"B","MA-02_B"
"15/02/2002","Majura",2002,"","M05","A","5.4","Y","new","","51",NA,3,"A","MA-01_A"
"18/02/2002","Majura",2002,"","M04","C","7.5","Y","recap","",NA,NA,4,"C","MA-03_C"
"20/02/2002","Majura",2002,"","M6a","B","3.4","Y","new","","57",NA,5,"B","MA-02_B"
"22/02/2002","Majura",2002,"","M6a","B","4.4","Y","recap","",NA,NA,6,"B","MA-02_B"
"25/02/2002","Majura",2002,"","M07","A","6.8","Y","new","","29",NA,7,"A","MA-01_A"
"27/02/2002","Majura",2002,"","M6a","B","4.4","Y","recap","",NA,NA,8,"B","MA-02_B"
"27/02/2002","Majura",2002,"","M08","A","4.8","Y","new","","35",NA,8,"A","MA-01_A"
"1/03/2002","Majura",2002,"","M02","C","1.1","Y","recap","",NA,NA,9,"C","MA-03_C"
"1/03/2002","Majura",2002,"","M10","C","6.3","Y","new","","40",NA,9,"C","MA-03_C"
"1/03/2002","Majura",2002,"","M6a","B","4.4","Y","recap","",NA,NA,9,"B","MA-02_B"
"4/03/2002","Majura",2002,"","M11","C","3.1","Y","new","","42",NA,10,"C","MA-03_C"
"6/03/2002","Majura",2002,"","M07","A","6.8","Y","recap","",NA,NA,11,"A","MA-01_A"
"6/03/2002","Majura",2002,"","M08","A","4.8","Y","recap","",NA,NA,11,"A","MA-01_A"
"13/03/2002","Majura",2002,"","M12","C","2.6","Y","new","","44",NA,13,"C","MA-03_C"
"13/03/2002","Majura",2002,"","M11a","A","3.1","Y","new","","34",NA,13,"A","MA-01_A"
"15/03/2002","Majura",2002,"","M12","C","3.6","Y","recap","",NA,NA,14,"C","MA-03_C"
"15/03/2002","Majura",2002,"","M14a","C","3.3","Y","new","","43",NA,14,"C","MA-03_C"
"15/03/2002","Majura",2002,"","M11","C","3.1","Y","recap","",NA,NA,14,"C","MA-03_C"
"15/03/2002","Majura",2002,"","M13","C","7.5","Y","new","","45",NA,14,"C","MA-03_C"
"15/03/2002","Majura",2002,"","M05","A","6.7","Y","recap","",NA,NA,14,"A","MA-01_A"
"21/03/2002","Majura",2002,"","M11","C","2.8","Y","recap","",NA,NA,15,"C","MA-03_C"
"21/03/2002","Majura",2002,"","M16","D","5.1","Y","new","","51",NA,15,"D","MA-04_D"
"21/03/2002","Majura",2002,"","M14b","A","1.5","Y","new","","42",NA,15,"A","MA-01_A"
"21/03/2002","Majura",2002,"","M17","C","3.1","Y","new","","47",NA,15,"C","MA-03_C"
"21/03/2002","Majura",2002,"","M13a","A","4.6","Y","new","","37",NA,15,"A","MA-01_A"
"21/03/2002","Majura",2002,"","M08","A","4.7","Y","recap","","43",NA,15,"A","MA-01_A"
"21/03/2002","Majura",2002,"","M15","D","2.3","Y","new","","41",NA,15,"D","MA-04_D"
"22/03/2002","Majura",2002,"","M15","D","3.3","Y","recap","",NA,NA,16,"D","MA-04_D"
"22/03/2002","Majura",2002,"","M20","D","1.2","Y","new","","47",NA,16,"D","MA-04_D"
"22/03/2002","Majura",2002,"","M22","B","4.6","Y","new","","47",NA,16,"B","MA-02_B"
"22/03/2002","Majura",2002,"","M21","B","5.4","Y","new","","42",NA,16,"B","MA-02_B"
"22/03/2002","Majura",2002,"","M18","D","7.8","Y","new","","47",NA,16,"D","MA-04_D"
"22/03/2002","Majura",2002,"","M19","C","5.3","Y","new","","44",NA,16,"C","MA-03_C"
"24/02/2003","Majura",2003,"","M02","A","2.6","Y","new","","52",NA,1,"A","MA-01_A"
"24/02/2003","Majura",2003,"","M03","D","7.3","Y","new","","46",NA,1,"D","MA-04_D"
"24/02/2003","Majura",2003,"","M04","D","2.3","Y","new","","49",NA,1,"D","MA-04_D"
"26/02/2003","Majura",2003,"","M05","A","4.4","Y","new","","37",NA,2,"A","MA-01_A"
"26/02/2003","Majura",2003,"","M02","A","4.8","Y","recap","",NA,NA,2,"A","MA-01_A"
"3/03/2003","Majura",2003,"","M06","B","1.5","Y","new","","37",NA,3,"B","MA-02_B"
"3/03/2003","Majura",2003,"","M04","D","2.5","Y","recap","",NA,NA,3,"D","MA-04_D"
"3/03/2003","Majura",2003,"","M02","A","2.5","Y","recap","",NA,NA,3,"A","MA-01_A"
"5/03/2003","Majura",2003,"","M06","B","1.4","Y","recap","",NA,NA,4,"B","MA-02_B"
"5/03/2003","Majura",2003,"","M07","A","1.5","Y","new","","36",NA,4,"A","MA-01_A"
"7/03/2003","Majura",2003,"","M08","D","1.1","Y","new","","36",NA,5,"D","MA-04_D"
"7/03/2003","Majura",2003,"","M04","D",NA,"Y","recap","",NA,NA,5,"D","MA-04_D"
"12/03/2003","Majura",2003,"","M02","A","3.7","Y","recap","",NA,NA,6,"A","MA-01_A"
"14/03/2003","Majura",2003,"","M02","A","1.4","Y","recap","",NA,NA,7,"A","MA-01_A"
"14/03/2003","Majura",2003,"","M04","D","7.3","Y","recap","",NA,NA,7,"D","MA-04_D"
"14/03/2003","Majura",2003,"","M20","A","2.3","Y","new","","60",NA,7,"A","MA-01_A"
"18/03/2003","Majura",2003,"","M10","D","5.3","Y","new","","54",NA,8,"D","MA-04_D"
"18/03/2003","Majura",2003,"","M11","A","2.8","Y","new","","61",NA,8,"A","MA-01_A"
"20/03/2003","Majura",2003,"","M01","A","1.3","Y","new","","59",NA,9,"A","MA-01_A"
"21/03/2003","Majura",2003,"","M10","D","5.2","Y","recap","",NA,NA,10,"D","MA-04_D"
"21/03/2003","Majura",2003,"","M13","A","3.8","Y","new","","54",NA,10,"A","MA-01_A"
"21/03/2003","Majura",2003,"","M12","A","1.3","Y","new","","45",NA,10,"A","MA-01_A"
"21/03/2003","Majura",2003,"","M05","A","6.1","Y","recap","",NA,NA,10,"A","MA-01_A"
"3/04/2003","Majura",2003,"","M18","C","5.8","Y","new","","43",NA,12,"C","MA-03_C"
"3/04/2003","Majura",2003,"","M16","D","5.1","Y","new","","57",NA,12,"D","MA-04_D"
"3/04/2003","Majura",2003,"","M14","B","2.8","Y","new","","40",NA,12,"B","MA-02_B"
"3/04/2003","Majura",2003,"","M04","D","5.3","Y","recap","",NA,NA,12,"D","MA-04_D"
"3/04/2003","Majura",2003,"","M15","D","2.1","Y","new","","64",NA,12,"D","MA-04_D"
"3/04/2003","Majura",2003,"","M17","C","7.3","Y","new","","44",NA,12,"C","MA-03_C"
"28/01/2004","Majura",2004,"","M01","A","6.4","Y","new","","30",NA,1,"A","MA-01_A"
"30/01/2004","Majura",2004,"","M03","A","7.4","Y","new","","30.4",NA,2,"A","MA-01_A"
"30/01/2004","Majura",2004,"","M02","A","4.7","Y","new","","27.8",NA,2,"A","MA-01_A"
"2/02/2004","Majura",2004,"","M03","A","7.4","Y","recap","",NA,NA,3,"A","MA-01_A"
"2/02/2004","Majura",2004,"","M01","A","6.4","Y","recap","",NA,NA,3,"A","MA-01_A"
"2/02/2004","Majura",2004,"","M04","C","2.6","Y","new","","41.6",NA,3,"C","MA-03_C"
"4/02/2004","Majura",2004,"","M06","A","6.4","Y","new","","28.3",NA,4,"A","MA-01_A"
"4/02/2004","Majura",2004,"","M05","A","4.8","Y","new","","26.4",NA,4,"A","MA-01_A"
"6/02/2004","Majura",2004,"","M07","A","6.7","Y","new","","51.3",NA,5,"A","MA-01_A"
"6/02/2004","Majura",2004,"","M03","A","7.4","Y","recap","",NA,NA,5,"A","MA-01_A"
"6/02/2004","Majura",2004,"","M06","A","6.4","Y","recap","",NA,NA,5,"A","MA-01_A"
"6/02/2004","Majura",2004,"","M04","C","3.5","Y","recap","",NA,NA,5,"C","MA-03_C"
"6/02/2004","Majura",2004,"","M02","A","4.7","Y","recap","",NA,NA,5,"A","MA-01_A"
"9/02/2004","Majura",2004,"","M09","A","6.7","Y","new","","26.7",NA,6,"A","MA-01_A"
"9/02/2004","Majura",2004,"","M08","A","6.2","Y","new","","35.2",NA,6,"A","MA-01_A"
"9/02/2004","Majura",2004,"","M06","A","6.4","Y","recap","",NA,NA,6,"A","MA-01_A"
"11/02/2004","Majura",2004,"","M09","A","6.7","Y","recap","",NA,NA,7,"A","MA-01_A"
"11/02/2004","Majura",2004,"","M10","A","7.7","Y","new","","53.9",NA,7,"A","MA-01_A"
"11/02/2004","Majura",2004,"","M06","A","6.4","Y","recap","",NA,NA,7,"A","MA-01_A"
"13/02/2004","Majura",2004,"","M10","A","7.8","Y","recap","",NA,NA,8,"A","MA-01_A"
"13/02/2004","Majura",2004,"","M11","A","2.3","Y","new","","33.1",NA,8,"A","MA-01_A"
"13/02/2004","Majura",2004,"","M02","A","4.7","Y","recap","",NA,NA,8,"A","MA-01_A"
"16/02/2004","Majura",2004,"","M12","A","7.5","Y","new","","33.1",NA,9,"A","MA-01_A"
"16/02/2004","Majura",2004,"","M11","A","2.3","Y","recap","",NA,NA,9,"A","MA-01_A"
"16/02/2004","Majura",2004,"","M13","B","6.6","Y","new","","24.9",NA,9,"B","MA-02_B"
"16/02/2004","Majura",2004,"","M09","A","6.7","Y","recap","",NA,NA,9,"A","MA-01_A"
"16/02/2004","Majura",2004,"","M14","D","2.8","Y","new","","33.2",NA,9,"D","MA-04_D"
"16/02/2004","Majura",2004,"","M02","A","4.7","Y","recap","",NA,NA,9,"A","MA-01_A"
"16/02/2004","Majura",2004,"","M07","A","6.6","Y","recap","",NA,NA,9,"A","MA-01_A"
"18/02/2004","Majura",2004,"","M11","A","2.3","Y","recap","",NA,NA,10,"A","MA-01_A"
"18/02/2004","Majura",2004,"","M09","A","6.7","Y","recap","",NA,NA,10,"A","MA-01_A"
