site,grid,year,checks
Cookanalla,I,2002,0
Cookanalla,J,2002,0
Cookanalla,K,2002,0
Cookanalla,L,2002,0
JerraEast,O,2002,0
JerraEast,P,2002,0
JerraEast,U,2002,0
JerraEast,Y,2002,0
JerraWest,E,2002,0
JerraWest,F,2002,0
JerraWest,G,2002,0
JerraWest,H,2002,0
Majura,A,2002,16
Majura,B,2002,16
Majura,C,2002,16
Majura,D,2002,16
Airport,NE,2002,0
Airport,NW,2002,0
Bonshaw,I,2002,0
Bonshaw,J,2002,0
AerialPaddock,K,2002,0
AerialPaddock,L,2002,0
AerialPaddock,U,2002,0
Cookanalla,I,2003,0
Cookanalla,J,2003,0
Cookanalla,K,2003,0
Cookanalla,L,2003,0
JerraEast,O,2003,0
JerraEast,P,2003,0
JerraEast,U,2003,0
JerraEast,Y,2003,0
JerraWest,E,2003,0
JerraWest,F,2003,0
JerraWest,G,2003,0
JerraWest,H,2003,0
Majura,A,2003,12
Majura,B,2003,12
Majura,C,2003,12
Majura,D,2003,12
Airport,NE,2003,0
Airport,NW,2003,0
Bonshaw,I,2003,0
Bonshaw,J,2003,0
AerialPaddock,K,2003,0
AerialPaddock,L,2003,0
AerialPaddock,U,2003,0
Cookanalla,I,2004,0
Cookanalla,J,2004,0
Cookanalla,K,2004,0
Cookanalla,L,2004,0
JerraEast,O,2004,0
JerraEast,P,2004,0
JerraEast,U,2004,0
JerraEast,Y,2004,0
JerraWest,E,2004,0
JerraWest,F,2004,0
JerraWest,G,2004,0
JerraWest,H,2004,0
Majura,A,2004,15
Majura,B,2004,15
Majura,C,2004,15
Majura,D,2004,15
Airport,NE,2004,0
Airport,NW,2004,0
Bonshaw,I,2004,0
Bonshaw,J,2004,0
AerialPaddock,K,2004,0
AerialPaddock,L,2004,0
AerialPaddock,U,2004,0
Cookanalla,I,2006,0
Cookanalla,J,2006,0
Cookanalla,K,2006,0
Cookanalla,L,2006,0
JerraEast,O,2006,0
JerraEast,P,2006,0
JerraEast,U,2006,0
JerraEast,Y,2006,0
JerraWest,E,2006,18
JerraWest,F,2006,18
JerraWest,G,2006,18
JerraWest,H,2006,18
Majura,A,2006,18
Majura,B,2006,18
Majura,C,2006,18
Majura,D,2006,18
Airport,NE,2006,0
Airport,NW,2006,0
Bonshaw,I,2006,0
Bonshaw,J,2006,0
AerialPaddock,K,2006,0
AerialPaddock,L,2006,0
AerialPaddock,U,2006,0
Cookanalla,I,2007,0
Cookanalla,J,2007,0
Cookanalla,K,2007,0
Cookanalla,L,2007,0
JerraEast,O,2007,0
JerraEast,P,2007,0
JerraEast,U,2007,0
JerraEast,Y,2007,0
JerraWest,E,2007,20
JerraWest,F,2007,20
JerraWest,G,2007,20
JerraWest,H,2007,20
Majura,A,2007,20
Majura,B,2007,20
Majura,C,2007,20
Majura,D,2007,20
Airport,NE,2007,18
Airport,NW,2007,18
Bonshaw,I,2007,26
Bonshaw,J,2007,26
AerialPaddock,K,2007,0
AerialPaddock,L,2007,0
AerialPaddock,U,2007,0
Cookanalla,I,2008,0
Cookanalla,J,2008,0
Cookanalla,K,2008,0
Cookanalla,L,2008,0
JerraEast,O,2008,0
JerraEast,P,2008,0
JerraEast,U,2008,0
JerraEast,Y,2008,0
JerraWest,E,2008,20
JerraWest,F,2008,20
JerraWest,G,2008,20
JerraWest,H,2008,20
Majura,A,2008,20
Majura,B,2008,20
Majura,C,2008,20
Majura,D,2008,20
Airport,NE,2008,18
Airport,NW,2008,18
Bonshaw,I,2008,18
Bonshaw,J,2008,18
AerialPaddock,K,2008,0
AerialPaddock,L,2008,0
AerialPaddock,U,2008,0
Cookanalla,I,2009,0
Cookanalla,J,2009,0
Cookanalla,K,2009,0
Cookanalla,L,2009,0
JerraEast,O,2009,20
JerraEast,P,2009,20
JerraEast,U,2009,20
JerraEast,Y,2009,20
JerraWest,E,2009,20
JerraWest,F,2009,20
JerraWest,G,2009,20
JerraWest,H,2009,20
Majura,A,2009,20
Majura,B,2009,20
Majura,C,2009,20
Majura,D,2009,20
Airport,NE,2009,18
Airport,NW,2009,18
Bonshaw,I,2009,20
Bonshaw,J,2009,20
AerialPaddock,K,2009,26
AerialPaddock,L,2009,26
AerialPaddock,U,2009,26
Cookanalla,I,2010,0
Cookanalla,J,2010,0
Cookanalla,K,2010,0
Cookanalla,L,2010,0
JerraEast,O,2010,20
JerraEast,P,2010,20
JerraEast,U,2010,20
JerraEast,Y,2010,20
JerraWest,E,2010,20
JerraWest,F,2010,20
JerraWest,G,2010,20
JerraWest,H,2010,20
Majura,A,2010,20
Majura,B,2010,20
Majura,C,2010,20
Majura,D,2010,20
Airport,NE,2010,18
Airport,NW,2010,18
Bonshaw,I,2010,0
Bonshaw,J,2010,0
AerialPaddock,K,2010,0
AerialPaddock,L,2010,0
AerialPaddock,U,2010,0
Cookanalla,I,2011,0
Cookanalla,J,2011,0
Cookanalla,K,2011,0
Cookanalla,L,2011,0
JerraEast,O,2011,20
JerraEast,P,2011,20
JerraEast,U,2011,20
JerraEast,Y,2011,20
JerraWest,E,2011,25
JerraWest,F,2011,25
JerraWest,G,2011,25
JerraWest,H,2011,25
Majura,A,2011,25
Majura,B,2011,25
Majura,C,2011,25
Majura,D,2011,25
Airport,NE,2011,18
Airport,NW,2011,18
Bonshaw,I,2011,0
Bonshaw,J,2011,0
AerialPaddock,K,2011,0
AerialPaddock,L,2011,0
AerialPaddock,U,2011,0
Cookanalla,I,2012,0
Cookanalla,J,2012,0
Cookanalla,K,2012,0
Cookanalla,L,2012,0
JerraEast,O,2012,21
JerraEast,P,2012,21
JerraEast,U,2012,21
JerraEast,Y,2012,21
JerraWest,E,2012,21
JerraWest,F,2012,21
JerraWest,G,2012,21
JerraWest,H,2012,21
Majura,A,2012,21
Majura,B,2012,21
Majura,C,2012,21
Majura,D,2012,21
Airport,NE,2012,0
Airport,NW,2012,0
Bonshaw,I,2012,0
Bonshaw,J,2012,0
AerialPaddock,K,2012,0
AerialPaddock,L,2012,0
AerialPaddock,U,2012,0
Cookanalla,I,2013,21
Cookanalla,J,2013,21
Cookanalla,K,2013,21
Cookanalla,L,2013,21
JerraEast,O,2013,21
JerraEast,P,2013,21
JerraEast,U,2013,21
JerraEast,Y,2013,21
JerraWest,E,2013,21
JerraWest,F,2013,21
JerraWest,G,2013,21
JerraWest,H,2013,21
Majura,A,2013,21
Majura,B,2013,21
Majura,C,2013,21
Majura,D,2013,21
Airport,NE,2013,18
Airport,NW,2013,18
Bonshaw,I,2013,0
Bonshaw,J,2013,0
AerialPaddock,K,2013,0
AerialPaddock,L,2013,0
AerialPaddock,U,2013,0
Cookanalla,I,2014,0
Cookanalla,J,2014,0
Cookanalla,K,2014,0
Cookanalla,L,2014,0
JerraEast,O,2014,18
JerraEast,P,2014,18
JerraEast,U,2014,18
JerraEast,Y,2014,18
JerraWest,E,2014,21
JerraWest,F,2014,21
JerraWest,G,2014,21
JerraWest,H,2014,21
Majura,A,2014,18
Majura,B,2014,18
Majura,C,2014,18
Majura,D,2014,18
Airport,NE,2014,0
Airport,NW,2014,0
Bonshaw,I,2014,0
Bonshaw,J,2014,0
AerialPaddock,K,2014,0
AerialPaddock,L,2014,0
AerialPaddock,U,2014,0
Cookanalla,I,2015,18
Cookanalla,J,2015,18
Cookanalla,K,2015,18
Cookanalla,L,2015,18
JerraEast,O,2015,18
JerraEast,P,2015,18
JerraEast,U,2015,18
JerraEast,Y,2015,18
JerraWest,E,2015,18
JerraWest,F,2015,18
JerraWest,G,2015,18
JerraWest,H,2015,18
Majura,A,2015,18
Majura,B,2015,18
Majura,C,2015,18
Majura,D,2015,18
Airport,NE,2015,18
Airport,NW,2015,18
Bonshaw,I,2015,0
Bonshaw,J,2015,0
AerialPaddock,K,2015,0
AerialPaddock,L,2015,0
AerialPaddock,U,2015,0
Cookanalla,I,2016,18
Cookanalla,J,2016,18
Cookanalla,K,2016,18
Cookanalla,L,2016,18
JerraEast,O,2016,18
JerraEast,P,2016,18
JerraEast,U,2016,18
JerraEast,Y,2016,18
JerraWest,E,2016,18
JerraWest,F,2016,18
JerraWest,G,2016,18
JerraWest,H,2016,18
Majura,A,2016,18
Majura,B,2016,18
Majura,C,2016,18
Majura,D,2016,18
Airport,NE,2016,0
Airport,NW,2016,0
Bonshaw,I,2016,0
Bonshaw,J,2016,0
AerialPaddock,K,2016,0
AerialPaddock,L,2016,0
AerialPaddock,U,2016,0
Cookanalla,I,2017,0
Cookanalla,J,2017,0
Cookanalla,K,2017,0
Cookanalla,L,2017,0
JerraEast,O,2017,18
JerraEast,P,2017,18
JerraEast,U,2017,18
JerraEast,Y,2017,18
JerraWest,E,2017,18
JerraWest,F,2017,18
JerraWest,G,2017,18
JerraWest,H,2017,18
Majura,A,2017,18
Majura,B,2017,18
Majura,C,2017,18
Majura,D,2017,18
Airport,NE,2017,18
Airport,NW,2017,18
Bonshaw,I,2017,0
Bonshaw,J,2017,0
AerialPaddock,K,2017,0
AerialPaddock,L,2017,0
AerialPaddock,U,2017,0
Cookanalla,I,2018,18
Cookanalla,J,2018,18
Cookanalla,K,2018,18
Cookanalla,L,2018,18
JerraEast,O,2018,18
JerraEast,P,2018,18
JerraEast,U,2018,18
JerraEast,Y,2018,18
JerraWest,E,2018,18
JerraWest,F,2018,18
JerraWest,G,2018,18
JerraWest,H,2018,18
Majura,A,2018,18
Majura,B,2018,18
Majura,C,2018,18
Majura,D,2018,18
Airport,NE,2018,0
Airport,NW,2018,0
Bonshaw,I,2018,0
Bonshaw,J,2018,0
AerialPaddock,K,2018,0
AerialPaddock,L,2018,0
AerialPaddock,U,2018,0
Cookanalla,I,2019,11
Cookanalla,J,2019,11
Cookanalla,K,2019,11
Cookanalla,L,2019,11
JerraEast,O,2019,18
JerraEast,P,2019,18
JerraEast,U,2019,18
JerraEast,Y,2019,18
JerraWest,E,2019,18
JerraWest,F,2019,18
JerraWest,G,2019,18
JerraWest,H,2019,18
Majura,A,2019,18
Majura,B,2019,18
Majura,C,2019,18
Majura,D,2019,18
Airport,NE,2019,0
Airport,NW,2019,0
Bonshaw,I,2019,0
Bonshaw,J,2019,0
AerialPaddock,K,2019,0
AerialPaddock,L,2019,0
AerialPaddock,U,2019,0
Cookanalla,I,2020,17
Cookanalla,J,2020,17
Cookanalla,K,2020,17
Cookanalla,L,2020,17
JerraEast,O,2020,19
JerraEast,P,2020,19
JerraEast,U,2020,19
JerraEast,Y,2020,19
JerraWest,E,2020,18
JerraWest,F,2020,18
JerraWest,G,2020,18
JerraWest,H,2020,18
Majura,A,2020,17
Majura,B,2020,17
Majura,C,2020,17
Majura,D,2020,17
Airport,NE,2020,0
Airport,NW,2020,0
Bonshaw,I,2020,0
Bonshaw,J,2020,0
AerialPaddock,K,2020,0
AerialPaddock,L,2020,0
AerialPaddock,U,2020,0
Cookanalla,I,2021,12
Cookanalla,J,2021,12
Cookanalla,K,2021,12
Cookanalla,L,2021,12
JerraEast,O,2021,13
JerraEast,P,2021,13
JerraEast,U,2021,13
JerraEast,Y,2021,13
JerraWest,E,2021,12
JerraWest,F,2021,12
JerraWest,G,2021,12
JerraWest,H,2021,12
Majura,A,2021,12
Majura,B,2021,12
Majura,C,2021,12
Majura,D,2021,12
Airport,NE,2021,0
Airport,NW,2021,0
Bonshaw,I,2021,0
Bonshaw,J,2021,0
AerialPaddock,K,2021,0
AerialPaddock,L,2021,0
AerialPaddock,U,2021,0
Cookanalla,I,2022,12
Cookanalla,J,2022,12
Cookanalla,K,2022,12
Cookanalla,L,2022,12
JerraEast,O,2022,12
JerraEast,P,2022,12
JerraEast,U,2022,12
JerraEast,Y,2022,12
JerraWest,E,2022,12
JerraWest,F,2022,12
JerraWest,G,2022,12
JerraWest,H,2022,12
Majura,A,2022,11
Majura,B,2022,10
Majura,C,2022,11
Majura,D,2022,11
Airport,NE,2022,0
Airport,NW,2022,0
Bonshaw,I,2022,0
Bonshaw,J,2022,0
AerialPaddock,K,2022,0
AerialPaddock,L,2022,0
AerialPaddock,U,2022,0
Cookanalla,I,2023,12
Cookanalla,J,2023,12
Cookanalla,K,2023,12
Cookanalla,L,2023,12
JerraEast,O,2023,12
JerraEast,P,2023,12
JerraEast,U,2023,12
JerraEast,Y,2023,12
JerraWest,E,2023,12
JerraWest,F,2023,12
JerraWest,G,2023,12
JerraWest,H,2023,12
Majura,A,2023,16
Majura,B,2023,16
Majura,C,2023,16
Majura,D,2023,16
Airport,NE,2023,0
Airport,NW,2023,0
Bonshaw,I,2023,0
Bonshaw,J,2023,0
AerialPaddock,K,2023,0
AerialPaddock,L,2023,0
AerialPaddock,U,2023,0
