"N","se","lcl","ucl","year","grid"
10.4563333333333,2.86318903777472,6,17,2009,"AerialPaddock K"
6.99179166666667,2.3771221542381,4,13,2009,"AerialPaddock L"
1.7295,1.13712369325515,1,5,2009,"AerialPaddock U"
0.000541666666666667,0.0347575929495994,0,0,2007,"Airport NE"
0.000958333333333333,0.049573352994435,0,0,2008,"Airport NE"
0.00133333333333333,0.0625703765056295,0,0,2009,"Airport NE"
0.00145833333333333,0.0573557059099666,0,0,2010,"Airport NE"
2.05266666666667,1.48542412319062,1,6,2011,"Airport NE"
0.000375,0.0232711969222024,0,0,2013,"Airport NE"
2.052,1.5028772770937,1,6,2015,"Airport NE"
0.000625,0.0309512943877314,0,0,2017,"Airport NE"
0.00104166666666667,0.0381747165686479,0,0,2007,"Airport NW"
0.000625,0.0322694814023444,0,0,2008,"Airport NW"
0.001625,0.066125196137568,0,0,2009,"Airport NW"
0.000291666666666667,0.0170761162727852,0,0,2010,"Airport NW"
0.00120833333333333,0.0392462835841967,0,0,2011,"Airport NW"
0.00125,0.0532154942540347,0,0,2013,"Airport NW"
6.0995,2.59212841382098,3,13,2015,"Airport NW"
0.000708333333333333,0.0322677596717732,0,0,2017,"Airport NW"
13.9827083333333,3.4052864535293,9,22,2007,"Bonshaw I"
2.03904166666667,1.47386383124039,1,6,2008,"Bonshaw I"
5.85891666666667,2.40017406199409,3,12,2009,"Bonshaw I"
8.73404166666667,2.58908036517047,5,15,2007,"Bonshaw J"
2.04866666666667,1.50332156281037,1,6,2008,"Bonshaw J"
3.90329166666667,1.94773729447469,2,9,2009,"Bonshaw J"
0.001375,0.0573577642641348,0,0,2013,"Cookanalla I"
12.2579583333333,3.55102443982077,7,20,2015,"Cookanalla I"
16.4185833333333,4.3340497604274,10,27,2016,"Cookanalla I"
16.248,4.2145070197544,10,26,2018,"Cookanalla I"
25.434625,6.00791672742586,15,38,2019,"Cookanalla I"
12.3902083333333,3.60063457096828,7,21,2020,"Cookanalla I"
0.000791666666666667,0.0413252677502356,0,0,2021,"Cookanalla I"
0.00208333333333333,0.0779695219780596,0,0,2022,"Cookanalla I"
0.00104166666666667,0.0423161459480604,0,0,2023,"Cookanalla I"
32.3279166666667,5.88246652932042,23,46,2013,"Cookanalla J"
20.2529166666667,4.69603932682768,13,31,2015,"Cookanalla J"
24.485,5.31616583960045,16,37,2016,"Cookanalla J"
28.4673333333333,5.85780356730791,19,42,2018,"Cookanalla J"
14.8482083333333,4.1662102096602,8,23,2019,"Cookanalla J"
27.2173333333333,5.8467817864139,18,40,2020,"Cookanalla J"
16.999875,4.62984176772361,9,27,2021,"Cookanalla J"
11.82875,3.59784140702675,6,19,2022,"Cookanalla J"
7.40916666666667,3.25735445883238,3,16,2023,"Cookanalla J"
0.000458333333333333,0.0232697047435897,0,0,2013,"Cookanalla K"
0.00075,0.0302678433203315,0,0,2015,"Cookanalla K"
0.00116666666666667,0.0428024363509694,0,0,2016,"Cookanalla K"
2.043875,1.44846035589522,1,6,2018,"Cookanalla K"
